"","state_abbr","county_name","votes_dem_2016","votes_gop_2016","votes_dem_2012","votes_gop_2012"
"1","AL","Autauga County",5908,18110,6354,17366
"2","AL","Baldwin County",18409,72780,18329,65772
"3","AL","Barbour County",4848,5431,5873,5539
"4","AL","Bibb County",1874,6733,2200,6131
"5","AL","Blount County",2150,22808,2961,20741
"6","AL","Bullock County",3530,1139,4058,1250
"7","AL","Butler County",3716,4891,4367,5081
"8","AL","Calhoun County",13197,32803,15500,30272
"9","AL","Chambers County",5763,7803,6853,7596
"10","AL","Cherokee County",1524,8809,2126,7494
"11","AL","Chilton County",2909,15068,3391,13910
"12","AL","Choctaw County",3109,4102,3785,4150
"13","AL","Clarke County",5712,7109,6317,7463
"14","AL","Clay County",1234,5230,1770,4802
"15","AL","Cleburne County",684,5738,971,5269
"16","AL","Coffee County",4194,15825,4899,14638
"17","AL","Colbert County",7296,16718,9160,13931
"18","AL","Conecuh County",3069,3413,3551,3434
"19","AL","Coosa County",1780,3376,2188,3028
"20","AL","Covington County",2379,13222,3155,12148
"21","AL","Crenshaw County",1663,4511,2048,4326
"22","AL","Cullman County",3730,32734,4855,27930
"23","AL","Dale County",4408,13798,5283,13105
"24","AL","Dallas County",12826,5784,14599,6284
"25","AL","DeKalb County",3682,21779,5235,18316
"26","AL","Elmore County",8436,27619,8940,26223
"27","AL","Escambia County",4698,10282,5476,9263
"28","AL","Etowah County",10350,32132,12792,29102
"29","AL","Fayette County",1358,6705,1803,6034
"30","AL","Franklin County",2197,9466,3171,7567
"31","AL","Geneva County",1522,9967,2039,9173
"32","AL","Greene County",4006,838,4514,799
"33","AL","Hale County",4772,3172,5401,3205
"34","AL","Henry County",2286,5623,3046,5605
"35","AL","Houston County",10547,30567,12348,29214
"36","AL","Jackson County",3663,16643,5817,14422
"37","AL","Jefferson County",151581,130614,159658,141413
"38","AL","Lamar County",1035,5819,1643,5453
"39","AL","Lauderdale County",9877,27735,12504,23902
"40","AL","Lawrence County",3611,10732,5055,8855
"41","AL","Lee County",20987,34321,21274,32062
"42","AL","Limestone County",9340,28824,9809,25263
"43","AL","Lowndes County",4882,1751,5747,1754
"44","AL","Macon County",7237,1394,9045,1322
"45","AL","Madison County",62435,89199,61802,90679
"46","AL","Marengo County",5607,5224,6154,5321
"47","AL","Marion County",1432,11273,2249,9696
"48","AL","Marshall County",4913,29217,6271,25785
"49","AL","Mobile County",68429,91087,78417,94566
"50","AL","Monroe County",4310,5771,4897,5730
"51","AL","Montgomery County",58669,33928,62993,38283
"52","AL","Morgan County",11216,37392,13401,35309
"53","AL","Perry County",3823,1403,4536,1504
"54","AL","Pickens County",3972,5454,4448,5119
"55","AL","Pike County",5039,7681,6009,7939
"56","AL","Randolph County",2290,7697,3076,7219
"57","AL","Russell County",9577,9210,10495,8276
"58","AL","Shelby County",22927,72846,19944,71243
"59","AL","St. Clair County",5550,31579,5790,29001
"60","AL","Sumter County",4739,1581,5420,1585
